opponent,seed,variant,board_id,games,base_grid_sha256,boards_archive_sha256,score,wins,losses,draws
amin,83000,v6,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.5,2,2,0
amin,83000,v6,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.75,2,0,2
amin,83000,v6,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.5,2,2,0
amin,83000,v6,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.0,0,4,0
amin,83000,v6,4,4,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.5,2,2,0
amin,83000,v6,5,4,7a4365133460c4753628efc1e0f2de6f90448e96aff16a6c23ac045eb05e905f,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.75,2,0,2
amin,83000,v6,6,4,e9260b96afd8a6a3ad991b278227c6b4cb08c5141eee0ae6bdf09e894325b486,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.25,0,2,2
amin,83000,v6,7,4,41802f9bacd77dbac0eb765dc4afc57ccf7fca87d8622cfb3c3a2b89eb23b44a,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.5,2,2,0
amin,83000,v9,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1.0,4,0,0
amin,83000,v9,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1.0,4,0,0
amin,83000,v9,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,1.0,4,0,0
amin,83000,v9,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.0,0,4,0
amin,83000,v9,4,4,1a2f08f005c22015d712f798c092540eae57f7536c2fa3b7f1f6719cc42cf887,cc1d87328867c67ec995bdb6d1308c9297139c35350fa2cb2a934ee156bd19eb,0.5,2,2,0
