suite,opponent,board_id,games_per_policy,v2_win,v2_loss,v2_draw,v3_win,v3_loss,v3_draw
local,expander,0,4,4,0,0,4,0,0
local,expander,1,4,4,0,0,4,0,0
local,expander,2,4,4,0,0,4,0,0
local,expander,3,4,4,0,0,4,0,0
local,expander,4,4,4,0,0,4,0,0
local,expander,5,4,4,0,0,4,0,0
local,expander,6,4,4,0,0,4,0,0
local,expander,7,4,4,0,0,4,0,0
local,expander,8,4,4,0,0,4,0,0
local,expander,9,4,4,0,0,4,0,0
local,expander,10,4,4,0,0,4,0,0
local,expander,11,4,4,0,0,4,0,0
local,expander,12,4,4,0,0,4,0,0
local,expander,13,4,4,0,0,4,0,0
local,expander,14,4,4,0,0,4,0,0
local,expander,15,4,4,0,0,4,0,0
local,expander,16,4,2,2,0,4,0,0
local,expander,17,4,4,0,0,4,0,0
local,expander,18,4,4,0,0,2,2,0
local,expander,19,4,4,0,0,4,0,0
local,expander,20,4,4,0,0,4,0,0
local,expander,21,4,4,0,0,4,0,0
local,expander,22,4,4,0,0,4,0,0
local,expander,23,4,4,0,0,4,0,0
local,expander,24,4,4,0,0,4,0,0
local,expander,25,4,4,0,0,4,0,0
local,expander,26,4,4,0,0,4,0,0
local,expander,27,4,4,0,0,4,0,0
local,expander,28,4,4,0,0,4,0,0
local,expander,29,4,4,0,0,4,0,0
local,expander,30,4,4,0,0,4,0,0
local,expander,31,4,4,0,0,4,0,0
local,expander,32,4,4,0,0,4,0,0
local,expander,33,4,4,0,0,4,0,0
local,expander,34,4,4,0,0,4,0,0
local,expander,35,4,4,0,0,4,0,0
local,expander,36,4,4,0,0,4,0,0
local,expander,37,4,4,0,0,4,0,0
local,expander,38,4,4,0,0,4,0,0
local,expander,39,4,4,0,0,4,0,0
local,expander,40,4,4,0,0,4,0,0
local,expander,41,4,4,0,0,4,0,0
local,expander,42,4,4,0,0,4,0,0
local,expander,43,4,4,0,0,4,0,0
local,expander,44,4,4,0,0,4,0,0
local,expander,45,4,4,0,0,4,0,0
local,expander,46,4,4,0,0,4,0,0
local,expander,47,4,4,0,0,4,0,0
local,expander,48,4,4,0,0,4,0,0
local,expander,49,4,4,0,0,4,0,0
local,expander,50,4,4,0,0,4,0,0
local,expander,51,4,4,0,0,4,0,0
local,expander,52,4,4,0,0,4,0,0
local,expander,53,4,4,0,0,4,0,0
local,expander,54,4,4,0,0,4,0,0
local,expander,55,4,2,2,0,2,2,0
local,expander,56,4,4,0,0,4,0,0
local,expander,57,4,4,0,0,4,0,0
local,expander,58,4,2,2,0,4,0,0
local,expander,59,4,4,0,0,4,0,0
local,expander,60,4,4,0,0,4,0,0
local,expander,61,4,4,0,0,4,0,0
local,expander,62,4,4,0,0,4,0,0
local,expander,63,4,4,0,0,4,0,0
local,hunter,0,4,4,0,0,4,0,0
local,hunter,1,4,4,0,0,4,0,0
local,hunter,2,4,4,0,0,4,0,0
local,hunter,3,4,4,0,0,4,0,0
local,hunter,4,4,4,0,0,4,0,0
local,hunter,5,4,4,0,0,4,0,0
local,hunter,6,4,4,0,0,4,0,0
local,hunter,7,4,4,0,0,4,0,0
local,hunter,8,4,4,0,0,4,0,0
local,hunter,9,4,4,0,0,4,0,0
local,hunter,10,4,4,0,0,4,0,0
local,hunter,11,4,4,0,0,4,0,0
local,hunter,12,4,4,0,0,4,0,0
local,hunter,13,4,4,0,0,4,0,0
local,hunter,14,4,4,0,0,4,0,0
local,hunter,15,4,4,0,0,4,0,0
local,hunter,16,4,4,0,0,4,0,0
local,hunter,17,4,4,0,0,4,0,0
local,hunter,18,4,4,0,0,4,0,0
local,hunter,19,4,4,0,0,4,0,0
local,hunter,20,4,4,0,0,4,0,0
local,hunter,21,4,4,0,0,4,0,0
local,hunter,22,4,4,0,0,4,0,0
local,hunter,23,4,4,0,0,4,0,0
local,hunter,24,4,4,0,0,4,0,0
local,hunter,25,4,4,0,0,4,0,0
