opponent,seed,board_id,games_per_policy,v2_score,v5_score,difference
expander,93000,0,4,1.0,1.0,0.0
expander,93000,1,4,1.0,1.0,0.0
expander,93000,2,4,1.0,1.0,0.0
expander,93000,3,4,1.0,1.0,0.0
expander,93000,4,4,1.0,1.0,0.0
expander,93000,5,4,1.0,1.0,0.0
expander,93000,6,4,1.0,1.0,0.0
expander,93000,7,4,1.0,1.0,0.0
hunter,93000,0,4,0.5,1.0,0.5
hunter,93000,1,4,1.0,1.0,0.0
hunter,93000,2,4,1.0,1.0,0.0
hunter,93000,3,4,1.0,1.0,0.0
hunter,93000,4,4,1.0,1.0,0.0
hunter,93000,5,4,1.0,1.0,0.0
hunter,93000,6,4,1.0,1.0,0.0
hunter,93000,7,4,1.0,1.0,0.0
amin-main8-iter160,83000,0,4,0.5,0.5,0.0
amin-main8-iter160,83000,1,4,1.0,0.75,-0.25
amin-main8-iter160,83000,2,4,0.25,0.25,0.0
amin-main8-iter160,83000,3,4,0.0,0.0,0.0
amin-main8-iter160,83000,4,4,0.5,0.5,0.0
amin-main8-iter160,83000,5,4,0.75,0.75,0.0
amin-main8-iter160,83000,6,4,0.25,0.25,0.0
amin-main8-iter160,83000,7,4,0.5,0.5,0.0
juraj-v3.4,83000,0,4,1.0,1.0,0.0
juraj-v3.4,83000,1,4,0.75,1.0,0.25
juraj-v3.4,83000,2,4,0.375,0.75,0.375
juraj-v3.4,83000,3,4,0.75,1.0,0.25
juraj-v3.5,83000,0,4,0.0,0.5,0.5
juraj-v3.5,83000,1,4,0.0,0.0,0.0
juraj-v3.5,83000,2,4,0.5,0.5,0.0
juraj-v3.5,83000,3,4,0.0,0.5,0.5
