opponent,seed,variant,board_id,repeat,swapped,seat,result,score,turns
amin-main8-iter160,83000,v6,0,0,0,0,win,1.0,383
amin-main8-iter160,83000,v6,0,0,0,1,loss,0.0,370
amin-main8-iter160,83000,v6,0,0,1,0,loss,0.0,370
amin-main8-iter160,83000,v6,0,0,1,1,win,1.0,383
amin-main8-iter160,83000,v6,1,0,0,0,win,1.0,135
amin-main8-iter160,83000,v6,1,0,0,1,draw,0.5,1200
amin-main8-iter160,83000,v6,1,0,1,0,draw,0.5,1200
amin-main8-iter160,83000,v6,1,0,1,1,win,1.0,135
amin-main8-iter160,83000,v6,2,0,0,0,loss,0.0,270
amin-main8-iter160,83000,v6,2,0,0,1,win,1.0,1073
amin-main8-iter160,83000,v6,2,0,1,0,win,1.0,1073
amin-main8-iter160,83000,v6,2,0,1,1,loss,0.0,270
amin-main8-iter160,83000,v6,3,0,0,0,loss,0.0,118
amin-main8-iter160,83000,v6,3,0,0,1,loss,0.0,546
amin-main8-iter160,83000,v6,3,0,1,0,loss,0.0,546
amin-main8-iter160,83000,v6,3,0,1,1,loss,0.0,118
amin-main8-iter160,83000,v6,4,0,0,0,win,1.0,614
amin-main8-iter160,83000,v6,4,0,0,1,loss,0.0,987
amin-main8-iter160,83000,v6,4,0,1,0,loss,0.0,987
amin-main8-iter160,83000,v6,4,0,1,1,win,1.0,614
amin-main8-iter160,83000,v6,5,0,0,0,draw,0.5,1200
amin-main8-iter160,83000,v6,5,0,0,1,win,1.0,1200
amin-main8-iter160,83000,v6,5,0,1,0,win,1.0,1200
amin-main8-iter160,83000,v6,5,0,1,1,draw,0.5,1200
amin-main8-iter160,83000,v6,6,0,0,0,loss,0.0,594
amin-main8-iter160,83000,v6,6,0,0,1,draw,0.5,1200
amin-main8-iter160,83000,v6,6,0,1,0,draw,0.5,1200
amin-main8-iter160,83000,v6,6,0,1,1,loss,0.0,594
amin-main8-iter160,83000,v6,7,0,0,0,loss,0.0,594
amin-main8-iter160,83000,v6,7,0,0,1,win,1.0,86
amin-main8-iter160,83000,v6,7,0,1,0,win,1.0,86
amin-main8-iter160,83000,v6,7,0,1,1,loss,0.0,594
amin-main8-iter160,83000,v7,0,0,0,0,loss,0.0,804
amin-main8-iter160,83000,v7,0,0,0,1,loss,0.0,595
amin-main8-iter160,83000,v7,0,0,1,0,loss,0.0,595
amin-main8-iter160,83000,v7,0,0,1,1,loss,0.0,804
amin-main8-iter160,83000,v7,1,0,0,0,win,1.0,286
amin-main8-iter160,83000,v7,1,0,0,1,loss,0.0,416
amin-main8-iter160,83000,v7,1,0,1,0,loss,0.0,416
amin-main8-iter160,83000,v7,1,0,1,1,win,1.0,286
amin-main8-iter160,83000,v7,2,0,0,0,win,1.0,792
amin-main8-iter160,83000,v7,2,0,0,1,draw,0.5,1200
amin-main8-iter160,83000,v7,2,0,1,0,draw,0.5,1200
amin-main8-iter160,83000,v7,2,0,1,1,win,1.0,792
amin-main8-iter160,83000,v7,3,0,0,0,loss,0.0,166
amin-main8-iter160,83000,v7,3,0,0,1,loss,0.0,451
amin-main8-iter160,83000,v7,3,0,1,0,loss,0.0,451
amin-main8-iter160,83000,v7,3,0,1,1,loss,0.0,166
amin-main8-iter160,83000,v7,4,0,0,0,win,1.0,511
amin-main8-iter160,83000,v7,4,0,0,1,loss,0.0,432
amin-main8-iter160,83000,v7,4,0,1,0,loss,0.0,432
amin-main8-iter160,83000,v7,4,0,1,1,win,1.0,511
amin-main8-iter160,83000,v7,5,0,0,0,loss,0.0,553
amin-main8-iter160,83000,v7,5,0,0,1,draw,0.5,1200
amin-main8-iter160,83000,v7,5,0,1,0,draw,0.5,1200
amin-main8-iter160,83000,v7,5,0,1,1,loss,0.0,553
amin-main8-iter160,83000,v7,6,0,0,0,win,1.0,944
amin-main8-iter160,83000,v7,6,0,0,1,loss,0.0,264
amin-main8-iter160,83000,v7,6,0,1,0,loss,0.0,264
amin-main8-iter160,83000,v7,6,0,1,1,win,1.0,944
amin-main8-iter160,83000,v7,7,0,0,0,win,1.0,305
amin-main8-iter160,83000,v7,7,0,0,1,win,1.0,86
amin-main8-iter160,83000,v7,7,0,1,0,win,1.0,86
amin-main8-iter160,83000,v7,7,0,1,1,win,1.0,305
amin-main8-iter160,83000,v8-cheap,0,0,0,0,loss,0.0,572
amin-main8-iter160,83000,v8-cheap,0,0,0,1,loss,0.0,304
amin-main8-iter160,83000,v8-cheap,0,0,1,0,loss,0.0,304
amin-main8-iter160,83000,v8-cheap,0,0,1,1,loss,0.0,572
amin-main8-iter160,83000,v8-cheap,1,0,0,0,win,1.0,309
amin-main8-iter160,83000,v8-cheap,1,0,0,1,loss,0.0,362
amin-main8-iter160,83000,v8-cheap,1,0,1,0,loss,0.0,362
amin-main8-iter160,83000,v8-cheap,1,0,1,1,win,1.0,309
amin-main8-iter160,83000,v8-cheap,2,0,0,0,loss,0.0,252
amin-main8-iter160,83000,v8-cheap,2,0,0,1,draw,0.5,1200
amin-main8-iter160,83000,v8-cheap,2,0,1,0,draw,0.5,1200
amin-main8-iter160,83000,v8-cheap,2,0,1,1,loss,0.0,252
amin-main8-iter160,83000,v8-cheap,3,0,0,0,loss,0.0,166
amin-main8-iter160,83000,v8-cheap,3,0,0,1,loss,0.0,559
amin-main8-iter160,83000,v8-cheap,3,0,1,0,loss,0.0,559
amin-main8-iter160,83000,v8-cheap,3,0,1,1,loss,0.0,166
amin-main8-iter160,83000,v8-cheap,4,0,0,0,win,1.0,668
amin-main8-iter160,83000,v8-cheap,4,0,0,1,loss,0.0,519
amin-main8-iter160,83000,v8-cheap,4,0,1,0,loss,0.0,519
amin-main8-iter160,83000,v8-cheap,4,0,1,1,win,1.0,668
amin-main8-iter160,83000,v8-cheap,5,0,0,0,loss,0.0,826
amin-main8-iter160,83000,v8-cheap,5,0,0,1,draw,0.5,1200
amin-main8-iter160,83000,v8-cheap,5,0,1,0,draw,0.5,1200
amin-main8-iter160,83000,v8-cheap,5,0,1,1,loss,0.0,826
amin-main8-iter160,83000,v8-cheap,6,0,0,0,loss,0.0,767
amin-main8-iter160,83000,v8-cheap,6,0,0,1,loss,0.0,510
amin-main8-iter160,83000,v8-cheap,6,0,1,0,loss,0.0,510
amin-main8-iter160,83000,v8-cheap,6,0,1,1,loss,0.0,767
amin-main8-iter160,83000,v8-cheap,7,0,0,0,win,1.0,392
amin-main8-iter160,83000,v8-cheap,7,0,0,1,win,1.0,86
amin-main8-iter160,83000,v8-cheap,7,0,1,0,win,1.0,86
amin-main8-iter160,83000,v8-cheap,7,0,1,1,win,1.0,392
amin-main8-iter160,83000,v8-direct,0,0,0,0,win,1.0,845
amin-main8-iter160,83000,v8-direct,0,0,0,1,loss,0.0,387
amin-main8-iter160,83000,v8-direct,0,0,1,0,loss,0.0,387
amin-main8-iter160,83000,v8-direct,0,0,1,1,win,1.0,845
amin-main8-iter160,83000,v8-direct,1,0,0,0,loss,0.0,702
amin-main8-iter160,83000,v8-direct,1,0,0,1,win,1.0,292
amin-main8-iter160,83000,v8-direct,1,0,1,0,win,1.0,292
amin-main8-iter160,83000,v8-direct,1,0,1,1,loss,0.0,702
amin-main8-iter160,83000,v8-direct,2,0,0,0,loss,0.0,252
amin-main8-iter160,83000,v8-direct,2,0,0,1,draw,0.5,1200
amin-main8-iter160,83000,v8-direct,2,0,1,0,draw,0.5,1200
amin-main8-iter160,83000,v8-direct,2,0,1,1,loss,0.0,252
amin-main8-iter160,83000,v8-direct,3,0,0,0,loss,0.0,196
amin-main8-iter160,83000,v8-direct,3,0,0,1,loss,0.0,242
amin-main8-iter160,83000,v8-direct,3,0,1,0,loss,0.0,242
amin-main8-iter160,83000,v8-direct,3,0,1,1,loss,0.0,196
amin-main8-iter160,83000,v8-direct,4,0,0,0,win,1.0,631
amin-main8-iter160,83000,v8-direct,4,0,0,1,loss,0.0,269
amin-main8-iter160,83000,v8-direct,4,0,1,0,loss,0.0,269
amin-main8-iter160,83000,v8-direct,4,0,1,1,win,1.0,631
amin-main8-iter160,83000,v8-direct,5,0,0,0,loss,0.0,736
amin-main8-iter160,83000,v8-direct,5,0,0,1,win,1.0,1065
amin-main8-iter160,83000,v8-direct,5,0,1,0,win,1.0,1065
amin-main8-iter160,83000,v8-direct,5,0,1,1,loss,0.0,736
amin-main8-iter160,83000,v8-direct,6,0,0,0,win,1.0,976
amin-main8-iter160,83000,v8-direct,6,0,0,1,loss,0.0,594
amin-main8-iter160,83000,v8-direct,6,0,1,0,loss,0.0,594
amin-main8-iter160,83000,v8-direct,6,0,1,1,win,1.0,976
amin-main8-iter160,83000,v8-direct,7,0,0,0,loss,0.0,792
amin-main8-iter160,83000,v8-direct,7,0,0,1,win,1.0,86
amin-main8-iter160,83000,v8-direct,7,0,1,0,win,1.0,86
amin-main8-iter160,83000,v8-direct,7,0,1,1,loss,0.0,792
amin-main8-iter160,83000,v8,0,0,0,0,win,1.0,1022
amin-main8-iter160,83000,v8,0,0,0,1,win,1.0,1033
amin-main8-iter160,83000,v8,0,0,1,0,win,1.0,1033
amin-main8-iter160,83000,v8,0,0,1,1,win,1.0,1022
amin-main8-iter160,83000,v8,1,0,0,0,win,1.0,302
