opponent,seed,variant,board_id,games,score
amin-main8-iter160,83000,v6,0,4,0.5
amin-main8-iter160,83000,v6,1,4,0.75
amin-main8-iter160,83000,v6,2,4,0.5
amin-main8-iter160,83000,v6,3,4,0.0
amin-main8-iter160,83000,v6,4,4,0.5
amin-main8-iter160,83000,v6,5,4,0.75
amin-main8-iter160,83000,v6,6,4,0.25
amin-main8-iter160,83000,v6,7,4,0.5
amin-main8-iter160,83000,v7,0,4,0.0
amin-main8-iter160,83000,v7,1,4,0.5
amin-main8-iter160,83000,v7,2,4,0.75
amin-main8-iter160,83000,v7,3,4,0.0
amin-main8-iter160,83000,v7,4,4,0.5
amin-main8-iter160,83000,v7,5,4,0.25
amin-main8-iter160,83000,v7,6,4,0.5
amin-main8-iter160,83000,v7,7,4,1.0
amin-main8-iter160,83000,v8-cheap,0,4,0.0
amin-main8-iter160,83000,v8-cheap,1,4,0.5
amin-main8-iter160,83000,v8-cheap,2,4,0.25
amin-main8-iter160,83000,v8-cheap,3,4,0.0
amin-main8-iter160,83000,v8-cheap,4,4,0.5
amin-main8-iter160,83000,v8-cheap,5,4,0.25
amin-main8-iter160,83000,v8-cheap,6,4,0.0
amin-main8-iter160,83000,v8-cheap,7,4,1.0
amin-main8-iter160,83000,v8-direct,0,4,0.5
amin-main8-iter160,83000,v8-direct,1,4,0.5
amin-main8-iter160,83000,v8-direct,2,4,0.25
amin-main8-iter160,83000,v8-direct,3,4,0.0
amin-main8-iter160,83000,v8-direct,4,4,0.5
amin-main8-iter160,83000,v8-direct,5,4,0.5
amin-main8-iter160,83000,v8-direct,6,4,0.5
amin-main8-iter160,83000,v8-direct,7,4,0.5
amin-main8-iter160,83000,v8,0,4,1.0
amin-main8-iter160,83000,v8,1,4,0.5
amin-main8-iter160,83000,v8,2,4,1.0
amin-main8-iter160,83000,v8,3,4,0.0
amin-main8-iter160,83000,v8,4,4,0.5
amin-main8-iter160,83000,v8,5,4,0.5
amin-main8-iter160,83000,v8,6,4,0.5
amin-main8-iter160,83000,v8,7,4,1.0
hunter,93000,v6,0,4,1.0
hunter,93000,v6,1,4,1.0
hunter,93000,v6,2,4,1.0
hunter,93000,v6,3,4,1.0
hunter,93000,v6,4,4,1.0
hunter,93000,v6,5,4,1.0
hunter,93000,v6,6,4,1.0
hunter,93000,v6,7,4,1.0
hunter,93000,v7,0,4,0.0
hunter,93000,v7,1,4,1.0
hunter,93000,v7,2,4,1.0
hunter,93000,v7,3,4,1.0
hunter,93000,v7,4,4,1.0
hunter,93000,v7,5,4,1.0
hunter,93000,v7,6,4,1.0
hunter,93000,v7,7,4,1.0
hunter,93000,v8-cheap,0,4,0.5
hunter,93000,v8-cheap,1,4,1.0
hunter,93000,v8-cheap,2,4,1.0
hunter,93000,v8-cheap,3,4,1.0
hunter,93000,v8-cheap,4,4,1.0
hunter,93000,v8-cheap,5,4,1.0
hunter,93000,v8-cheap,6,4,1.0
hunter,93000,v8-cheap,7,4,1.0
hunter,93000,v8-direct,0,4,0.0
hunter,93000,v8-direct,1,4,1.0
hunter,93000,v8-direct,2,4,1.0
hunter,93000,v8-direct,3,4,1.0
hunter,93000,v8-direct,4,4,1.0
hunter,93000,v8-direct,5,4,1.0
hunter,93000,v8-direct,6,4,1.0
hunter,93000,v8-direct,7,4,1.0
hunter,93000,v8,0,4,0.0
hunter,93000,v8,1,4,1.0
hunter,93000,v8,2,4,1.0
hunter,93000,v8,3,4,1.0
hunter,93000,v8,4,4,1.0
hunter,93000,v8,5,4,1.0
hunter,93000,v8,6,4,1.0
hunter,93000,v8,7,4,1.0
expander,93000,v6,0,4,1.0
expander,93000,v6,1,4,1.0
expander,93000,v6,2,4,1.0
expander,93000,v6,3,4,1.0
expander,93000,v6,4,4,1.0
expander,93000,v6,5,4,1.0
expander,93000,v6,6,4,1.0
expander,93000,v6,7,4,1.0
expander,93000,v8,0,4,1.0
expander,93000,v8,1,4,1.0
expander,93000,v8,2,4,1.0
expander,93000,v8,3,4,1.0
expander,93000,v8,4,4,1.0
expander,93000,v8,5,4,1.0
expander,93000,v8,6,4,1.0
expander,93000,v8,7,4,1.0
juraj-v35,83000,v6,0,4,0.5
juraj-v35,83000,v6,1,4,0.0
juraj-v35,83000,v6,2,4,0.5
juraj-v35,83000,v6,3,4,0.5
juraj-v35,83000,v8,0,4,0.25
juraj-v35,83000,v8,1,4,0.0
juraj-v35,83000,v8,2,4,0.5
juraj-v35,83000,v8,3,4,0.0
juraj-v34,83000,v6,0,4,1.0
juraj-v34,83000,v6,1,4,0.75
juraj-v34,83000,v6,2,4,0.25
juraj-v34,83000,v6,3,4,1.0
juraj-v34,83000,v8,0,4,1.0
juraj-v34,83000,v8,1,4,0.75
juraj-v34,83000,v8,2,4,0.25
juraj-v34,83000,v8,3,4,0.5
my-bot9,83000,v6,0,4,1.0
my-bot9,83000,v6,1,4,1.0
my-bot9,83000,v6,2,4,1.0
my-bot9,83000,v6,3,4,1.0
my-bot9,83000,v8,0,4,1.0
my-bot9,83000,v8,1,4,0.0
my-bot9,83000,v8,2,4,1.0
my-bot9,83000,v8,3,4,1.0
